status,x0,y0,t0,x1,y1,t1,obs
2.0,36.21656965830612,147.0512165245117,1622666623.728,36.21656965830612,147.0512165245117,1622666633.728,1.0
1.0,36.21656965830612,147.0512165245117,1622666633.728,36.21632590238005,147.05120620690286,1622666643.4396505,0.0
2.0,36.21632590238005,147.05120620690286,1622666643.4396505,36.21632590238005,147.05120620690286,1622667283.728,0.0
2.0,36.21632590238005,147.05120620690286,1622667283.728,36.21632590238005,147.05120620690286,1622667293.728,1.0
1.0,36.21632590238005,147.05120620690286,1622667293.728,36.21638612635434,147.05132053606212,1622667300.9336336,0.0
2.0,36.21638612635434,147.05132053606212,1622667300.9336336,36.21638612635434,147.05132053606212,1622667943.728,0.0
2.0,36.21638612635434,147.05132053606212,1622667943.728,36.21638612635434,147.05132053606212,1622667953.728,1.0
1.0,36.21638612635434,147.05132053606212,1622667953.728,36.216427113860846,147.0512208752334,1622667959.5109122,0.0
2.0,36.216427113860846,147.0512208752334,1622667959.5109122,36.216427113860846,147.0512208752334,1622668603.728,0.0
2.0,36.216427113860846,147.0512208752334,1622668603.728,36.216427113860846,147.0512208752334,1622668613.728,1.0
2.0,36.216427113860846,147.0512208752334,1622668613.728,36.216427113860846,147.0512208752334,1622691639.3952026,0.0
1.0,36.216427113860846,147.0512208752334,1622691639.3952026,36.21655575830612,147.05125342451174,1622691663.728,0.0
2.0,36.21655575830612,147.05125342451174,1622691663.728,36.21655575830612,147.05125342451174,1622691673.728,1.0
2.0,36.21655575830612,147.05125342451174,1622691673.728,36.21655575830612,147.05125342451174,1622692958.728,0.0
1.0,36.21655575830612,147.05125342451174,1622692958.728,36.21635020989925,147.05106522329152,1622692968.728,1.0
1.0,36.21635020989925,147.05106522329152,1622692968.728,36.216472644755605,147.05118811516127,1622692978.728,0.0
2.0,36.216472644755605,147.05118811516127,1622692978.728,36.216472644755605,147.05118811516127,1622693028.728,0.0
1.0,36.216472644755605,147.05118811516127,1622693028.728,36.21653804747759,147.05125377924298,1622693038.728,0.0
2.0,36.21653804747759,147.05125377924298,1622693038.728,36.21653804747759,147.05125377924298,1622693088.728,0.0
1.0,36.21653804747759,147.05125377924298,1622693088.728,36.21654345830612,147.05125922451168,1622693088.9226224,0.0
2.0,36.21654345830612,147.05125922451168,1622693088.9226224,36.21654345830612,147.05125922451168,1622695578.728,0.0
1.0,36.21654345830612,147.05125922451168,1622695578.728,36.21660753432661,147.05101618915796,1622695588.728,1.0
1.0,36.21660753432661,147.05101618915796,1622695588.728,36.216412324490165,147.05115164947725,1622695597.089852,0.0
2.0,36.216412324490165,147.05115164947725,1622695597.089852,36.216412324490165,147.05115164947725,1622697138.728,0.0
1.0,36.216412324490165,147.05115164947725,1622697138.728,36.216358633711934,147.05113797821105,1622697158.728,1.0
1.0,36.216358633711934,147.05113797821105,1622697158.728,36.216526493387285,147.0512102552516,1622697183.728,0.0
1.0,36.216526493387285,147.0512102552516,1622697183.728,36.216583640765535,147.0512386091418,1622697193.728,1.0
2.0,36.216583640765535,147.0512386091418,1622697193.728,36.216583640765535,147.0512386091418,1622697798.728,0.0
1.0,36.216583640765535,147.0512386091418,1622697798.728,36.21645984519273,147.05107050389051,1622697808.728,1.0
1.0,36.21645984519273,147.05107050389051,1622697808.728,36.21655341086278,147.05115835128058,1622697814.645982,0.0
2.0,36.21655341086278,147.05115835128058,1622697814.645982,36.21655341086278,147.05115835128058,1622698453.728,0.0
2.0,36.21655341086278,147.05115835128058,1622698453.728,36.21655341086278,147.05115835128058,1622698463.728,1.0
2.0,36.21655341086278,147.05115835128058,1622698463.728,36.21655341086278,147.05115835128058,1622699118.728,0.0
1.0,36.21655341086278,147.05115835128058,1622699118.728,36.21650083269924,147.051082322374,1622699128.728,1.0
2.0,36.21650083269924,147.051082322374,1622699128.728,36.21650083269924,147.051082322374,1622699783.728,0.0
2.0,36.21650083269924,147.051082322374,1622699783.728,36.21650083269924,147.051082322374,1622699793.728,1.0
1.0,36.21650083269924,147.051082322374,1622699793.728,36.21655442987982,147.05118982747254,1622699803.728,0.0
2.0,36.21655442987982,147.05118982747254,1622699803.728,36.21655442987982,147.05118982747254,1622699813.728,0.0
1.0,36.21655442987982,147.05118982747254,1622699813.728,36.21656465830612,147.05121032451171,1622699816.265328,0.0
2.0,36.21656465830612,147.05121032451171,1622699816.265328,36.21656465830612,147.05121032451171,1622700438.728,0.0
1.0,36.21656465830612,147.05121032451171,1622700438.728,36.216421456076205,147.05099607259035,1622700448.728,1.0
1.0,36.216421456076205,147.05099607259035,1622700448.728,36.21646812172026,147.05106814653124,1622700458.728,0.0
2.0,36.21646812172026,147.05106814653124,1622700458.728,36.21646812172026,147.05106814653124,1622700468.728,0.0
1.0,36.21646812172026,147.05106814653124,1622700468.728,36.216518286299134,147.05114563724518,1622700478.728,0.0
2.0,36.216518286299134,147.05114563724518,1622700478.728,36.216518286299134,147.05114563724518,1622700488.728,0.0
1.0,36.216518286299134,147.05114563724518,1622700488.728,36.21654659789056,147.0511893592775,1622700491.7711442,0.0
2.0,36.21654659789056,147.0511893592775,1622700491.7711442,36.21654659789056,147.0511893592775,1622701093.728,0.0
2.0,36.21654659789056,147.0511893592775,1622701093.728,36.21654659789056,147.0511893592775,1622701103.728,1.0
1.0,36.21654659789056,147.0511893592775,1622701103.728,36.2163489238051,147.05103272236298,1622701113.728,0.0
