status,x0,y0,t0,x1,y1,t1,obs
2.0,36.03323030480907,-44.13510539492188,1624383820.418,36.03323030480907,-44.13510539492188,1624383840.418,1.0
2.0,36.03323030480907,-44.13510539492188,1624383840.418,36.03323030480907,-44.13510539492188,1624386455.418,0.0
2.0,36.03323030480907,-44.13510539492188,1624386455.418,36.03323030480907,-44.13510539492188,1624386465.418,1.0
2.0,36.03323030480907,-44.13510539492188,1624386465.418,36.03323030480907,-44.13510539492188,1624386475.418,0.0
2.0,36.03323030480907,-44.13510539492188,1624386475.418,36.03323030480907,-44.13510539492188,1624386485.418,1.0
2.0,36.03323030480907,-44.13510539492188,1624386485.418,36.03323030480907,-44.13510539492188,1624783895.00017,0.0
1.0,36.03323030480907,-44.13510539492188,1624783895.00017,36.033332957853844,-44.135052191373646,1624783905.00017,0.0
2.0,36.033332957853844,-44.135052191373646,1624783905.00017,36.033332957853844,-44.135052191373646,1624783955.00017,0.0
1.0,36.033332957853844,-44.135052191373646,1624783955.00017,36.03343589458671,-44.134998840734355,1624783965.00017,0.0
2.0,36.03343589458671,-44.134998840734355,1624783965.00017,36.03343589458671,-44.134998840734355,1624784015.00017,0.0
1.0,36.03343589458671,-44.134998840734355,1624784015.00017,36.033539119630696,-44.134945340740174,1624784025.00017,0.0
2.0,36.033539119630696,-44.134945340740174,1624784025.00017,36.033539119630696,-44.134945340740174,1624784075.00017,0.0
1.0,36.033539119630696,-44.134945340740174,1624784075.00017,36.033743774927096,-44.13483930388178,1624784085.00017,0.0
2.0,36.033743774927096,-44.13483930388178,1624784085.00017,36.033743774927096,-44.13483930388178,1624784135.00017,0.0
1.0,36.033743774927096,-44.13483930388178,1624784135.00017,36.034055432364184,-44.13467780278991,1624784145.00017,0.0
2.0,36.034055432364184,-44.13467780278991,1624784145.00017,36.034055432364184,-44.13467780278991,1624784245.00017,0.0
1.0,36.034055432364184,-44.13467780278991,1624784245.00017,36.034159470195576,-44.13462388135687,1624784255.00017,0.0
2.0,36.034159470195576,-44.13462388135687,1624784255.00017,36.034159470195576,-44.13462388135687,1624784305.00017,0.0
1.0,36.034159470195576,-44.13462388135687,1624784305.00017,36.03427439366541,-44.134564317659134,1624784315.00017,0.0
2.0,36.03427439366541,-44.134564317659134,1624784315.00017,36.03427439366541,-44.134564317659134,1624784365.00017,0.0
1.0,36.03427439366541,-44.134564317659134,1624784365.00017,36.03458706313171,-44.13440239569064,1624784375.00017,0.0
2.0,36.03458706313171,-44.13440239569064,1624784375.00017,36.03458706313171,-44.13440239569064,1624784475.00017,0.0
1.0,36.03458706313171,-44.13440239569064,1624784475.00017,36.034702686316685,-44.134342469423494,1624784485.00017,0.0
2.0,36.034702686316685,-44.134342469423494,1624784485.00017,36.034702686316685,-44.134342469423494,1624784535.00017,0.0
1.0,36.034702686316685,-44.134342469423494,1624784535.00017,36.03499025411675,-44.13419350987144,1624784545.00017,0.0
2.0,36.03499025411675,-44.13419350987144,1624784545.00017,36.03499025411675,-44.13419350987144,1624784595.00017,0.0
1.0,36.03499025411675,-44.13419350987144,1624784595.00017,36.03510623191062,-44.13413339975048,1624784605.00017,0.0
2.0,36.03510623191062,-44.13413339975048,1624784605.00017,36.03510623191062,-44.13413339975048,1624784655.00017,0.0
1.0,36.03510623191062,-44.13413339975048,1624784655.00017,36.03531307329447,-44.1340262169917,1624784665.00017,0.0
2.0,36.03531307329447,-44.1340262169917,1624784665.00017,36.03531307329447,-44.1340262169917,1624784715.00017,0.0
1.0,36.03531307329447,-44.1340262169917,1624784715.00017,36.03562693783359,-44.133863569984975,1624784725.00017,0.0
2.0,36.03562693783359,-44.133863569984975,1624784725.00017,36.03562693783359,-44.133863569984975,1624784775.00017,0.0
1.0,36.03562693783359,-44.133863569984975,1624784775.00017,36.0359408025151,-44.13370091621389,1624784785.00017,0.0
2.0,36.0359408025151,-44.13370091621389,1624784785.00017,36.0359408025151,-44.13370091621389,1624784885.00017,0.0
1.0,36.0359408025151,-44.13370091621389,1624784885.00017,36.036047161480276,-44.13364579148726,1624784895.00017,0.0
2.0,36.036047161480276,-44.13364579148726,1624784895.00017,36.036047161480276,-44.13364579148726,1624784945.00017,0.0
1.0,36.036047161480276,-44.13364579148726,1624784945.00017,36.036336121626505,-44.13349623296197,1624784955.00017,0.0
2.0,36.036336121626505,-44.13349623296197,1624784955.00017,36.036336121626505,-44.13349623296197,1624785055.00017,0.0
1.0,36.036336121626505,-44.13349623296197,1624785055.00017,36.03654447493753,-44.1333882723526,1624785065.00017,0.0
2.0,36.03654447493753,-44.1333882723526,1624785065.00017,36.03654447493753,-44.1333882723526,1624785115.00017,0.0
1.0,36.03654447493753,-44.1333882723526,1624785115.00017,36.03685986094466,-44.13322483317888,1624785125.00017,0.0
2.0,36.03685986094466,-44.13322483317888,1624785125.00017,36.03685986094466,-44.13322483317888,1624785175.00017,0.0
1.0,36.03685986094466,-44.13322483317888,1624785175.00017,36.037149496977115,-44.13307477962371,1624785185.00017,0.0
2.0,36.037149496977115,-44.13307477962371,1624785185.00017,36.037149496977115,-44.13307477962371,1624785235.00017,0.0
1.0,36.037149496977115,-44.13307477962371,1624785235.00017,36.037358160699426,-44.13296671734095,1624785245.00017,0.0
2.0,36.037358160699426,-44.13296671734095,1624785245.00017,36.037358160699426,-44.13296671734095,1624785345.00017,0.0
1.0,36.037358160699426,-44.13296671734095,1624785345.00017,36.03746640837588,-44.13291061293926,1624785355.00017,0.0
2.0,36.03746640837588,-44.13291061293926,1624785355.00017,36.03746640837588,-44.13291061293926,1624785455.00017,0.0
1.0,36.03746640837588,-44.13291061293926,1624785455.00017,36.037783496560166,-44.13274628805529,1624785465.00017,0.0
2.0,36.037783496560166,-44.13274628805529,1624785465.00017,36.037783496560166,-44.13274628805529,1624785515.00017,0.0
1.0,36.037783496560166,-44.13274628805529,1624785515.00017,36.03807484664169,-44.13259532288549,1624785525.00017,0.0
2.0,36.03807484664169,-44.13259532288549,1624785525.00017,36.03807484664169,-44.13259532288549,1624785575.00017,0.0
1.0,36.03807484664169,-44.13259532288549,1624785575.00017,36.0381841471296,-44.132538672692164,1624785585.00017,0.0
2.0,36.0381841471296,-44.132538672692164,1624785585.00017,36.0381841471296,-44.132538672692164,1624785685.00017,0.0
1.0,36.0381841471296,-44.132538672692164,1624785685.00017,36.03839553484239,-44.132429163490954,1624785695.00017,0.0
2.0,36.03839553484239,-44.132429163490954,1624785695.00017,36.03839553484239,-44.132429163490954,1624785795.00017,0.0
1.0,36.03839553484239,-44.132429163490954,1624785795.00017,36.03860773668725,-44.13231920369991,1624785805.00017,0.0
2.0,36.03860773668725,-44.13231920369991,1624785805.00017,36.03860773668725,-44.13231920369991,1624785855.00017,0.0
1.0,36.03860773668725,-44.13231920369991,1624785855.00017,36.03892704180717,-44.13215380124039,1624785865.00017,0.0
2.0,36.03892704180717,-44.13215380124039,1624785865.00017,36.03892704180717,-44.13215380124039,1624785915.00017,0.0
1.0,36.03892704180717,-44.13215380124039,1624785915.00017,36.039220608594164,-44.13200168743958,1624785925.00017,0.0
