status,x0,y0,t0,x1,y1,t1,obs
2.0,35.0525649625914,-20.05568231914063,1622665331.164,35.0525649625914,-20.05568231914063,1622665341.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622665341.164,35.0525649625914,-20.05568231914063,1622665361.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622665361.164,35.0525649625914,-20.05568231914063,1622665371.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622665371.164,35.0525649625914,-20.05568231914063,1622665971.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622665971.164,35.0525649625914,-20.05568231914063,1622665981.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622665981.164,35.0525649625914,-20.05568231914063,1622666631.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622666631.164,35.0525649625914,-20.05568231914063,1622666641.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622666641.164,35.0525649625914,-20.05568231914063,1622667291.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622667291.164,35.0525649625914,-20.05568231914063,1622667301.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622667301.164,35.0525649625914,-20.05568231914063,1622667951.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622667951.164,35.0525649625914,-20.05568231914063,1622667961.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622667961.164,35.0525649625914,-20.05568231914063,1622668611.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622668611.164,35.0525649625914,-20.05568231914063,1622668621.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622668621.164,35.0525649625914,-20.05568231914063,1622669271.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622669271.164,35.0525649625914,-20.05568231914063,1622669281.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622669281.164,35.0525649625914,-20.05568231914063,1622669931.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622669931.164,35.0525649625914,-20.05568231914063,1622669941.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622669941.164,35.0525649625914,-20.05568231914063,1622670591.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622670591.164,35.0525649625914,-20.05568231914063,1622670601.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622670601.164,35.0525649625914,-20.05568231914063,1622671251.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622671251.164,35.0525649625914,-20.05568231914063,1622671261.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622671261.164,35.0525649625914,-20.05568231914063,1622671911.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622671911.164,35.0525649625914,-20.05568231914063,1622671921.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622671921.164,35.0525649625914,-20.05568231914063,1622672571.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622672571.164,35.0525649625914,-20.05568231914063,1622672581.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622672581.164,35.0525649625914,-20.05568231914063,1622673231.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622673231.164,35.0525649625914,-20.05568231914063,1622673241.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622673241.164,35.0525649625914,-20.05568231914063,1622673891.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622673891.164,35.0525649625914,-20.05568231914063,1622673901.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622673901.164,35.0525649625914,-20.05568231914063,1622674551.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622674551.164,35.0525649625914,-20.05568231914063,1622674561.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622674561.164,35.0525649625914,-20.05568231914063,1622675211.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622675211.164,35.0525649625914,-20.05568231914063,1622675221.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622675221.164,35.0525649625914,-20.05568231914063,1622675871.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622675871.164,35.0525649625914,-20.05568231914063,1622675881.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622675881.164,35.0525649625914,-20.05568231914063,1622676531.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622676531.164,35.0525649625914,-20.05568231914063,1622676541.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622676541.164,35.0525649625914,-20.05568231914063,1622677191.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622677191.164,35.0525649625914,-20.05568231914063,1622677201.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622677201.164,35.0525649625914,-20.05568231914063,1622677851.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622677851.164,35.0525649625914,-20.05568231914063,1622677861.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622677861.164,35.0525649625914,-20.05568231914063,1622678511.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622678511.164,35.0525649625914,-20.05568231914063,1622678521.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622678521.164,35.0525649625914,-20.05568231914063,1622679171.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622679171.164,35.0525649625914,-20.05568231914063,1622679181.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622679181.164,35.0525649625914,-20.05568231914063,1622679831.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622679831.164,35.0525649625914,-20.05568231914063,1622679841.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622679841.164,35.0525649625914,-20.05568231914063,1622683191.164,0.0
2.0,35.0525649625914,-20.05568231914063,1622683191.164,35.0525649625914,-20.05568231914063,1622683201.164,1.0
2.0,35.0525649625914,-20.05568231914063,1622683201.164,35.0525649625914,-20.05568231914063,1622689586.164,0.0
