year,month,day,num_in_call,num_out_call,num_mis_call,num_in_caller,num_out_caller,num_mis_caller,total_mins_in_call,total_mins_out_call,num_s,num_r,num_mms_s,num_mms_r,num_s_tel,num_r_tel,total_char_s,total_char_r,text_reciprocity_incoming,text_reciprocity_outgoing
2021,6,3,0,0,0,0,0,0,0.0,0.0,3,44,0,0,1,7,56,2190,35,0
2021,6,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,7,0,0,0,0,0,0,0.0,0.0,0,3,0,0,0,1,0,152,3,0
2021,6,8,0,0,0,0,0,0,0.0,0.0,0,13,0,0,0,4,0,727,13,0
2021,6,9,1,0,0,1,0,0,0.5,0.0,1,15,0,0,1,2,20,913,15,1
2021,6,10,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,1,0,92,2,0
2021,6,11,0,0,0,0,0,0,0.0,0.0,0,20,0,0,0,4,0,1229,20,0
2021,6,12,0,3,0,0,1,0,0.0,0.0,0,23,0,0,0,2,0,1340,23,0
2021,6,13,0,0,0,0,0,0,0.0,0.0,0,6,0,0,0,2,0,360,6,0
2021,6,14,1,0,0,1,0,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,15,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,16,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
