year,month,day,num_in_call,num_out_call,num_mis_call,num_in_caller,num_out_caller,num_mis_caller,total_mins_in_call,total_mins_out_call,num_s,num_r,num_mms_s,num_mms_r,num_s_tel,num_r_tel,total_char_s,total_char_r,text_reciprocity_incoming,text_reciprocity_outgoing
2021,6,10,0,0,0,0,0,0,0.0,0.0,16,11,0,0,1,1,746,217,0,0
2021,6,11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,12,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,13,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,14,0,0,0,0,0,0,0.0,0.0,2,1,0,0,1,1,56,12,1,2
2021,6,15,1,0,0,1,0,0,2.2666666666666666,0.0,14,9,0,0,2,3,562,389,4,0
2021,6,16,4,2,2,4,2,1,19.983333333333334,1.8166666666666667,12,26,0,0,3,6,490,1595,26,12
2021,6,17,2,7,1,1,5,1,28.916666666666664,62.150000000000006,2,11,0,0,1,3,1086,590,11,2
2021,6,18,2,6,0,1,4,0,19.7,7.983333333333333,0,7,0,0,0,2,0,538,7,0
2021,6,19,2,1,0,2,1,0,0.7,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,20,3,0,1,3,0,1,8.166666666666668,0.0,0,10,0,0,0,3,0,503,10,0
2021,6,21,0,0,0,0,0,0,0.0,0.0,0,14,0,0,0,4,0,773,14,0
2021,6,22,3,9,0,2,6,0,7.1000000000000005,2.833333333333333,8,21,0,0,2,3,474,1017,18,4
2021,6,23,4,5,1,4,4,1,4.25,1.7166666666666668,4,13,0,0,2,2,434,757,13,4
2021,6,24,3,10,0,3,3,0,11.766666666666667,12.033333333333335,0,9,0,0,0,2,0,547,9,0
2021,6,25,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,27,1,1,2,1,1,1,0.08333333333333333,4.916666666666667,2,0,0,0,1,0,328,0,0,2
2021,6,28,2,8,6,2,5,5,8.383333333333333,7.75,6,10,0,0,2,2,268,627,10,6
2021,6,29,2,9,2,1,5,1,15.383333333333333,45.93333333333333,2,3,0,0,1,2,402,134,3,2
2021,6,30,4,1,0,4,1,0,8.333333333333332,0.6166666666666667,0,14,0,0,0,3,0,806,14,0
2021,7,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,7,6,1,2,0,1,1,0,1.4833333333333334,0.0,0,22,0,0,0,5,0,1311,22,0
2021,7,7,2,6,0,2,2,0,18.066666666666666,0.0,0,4,0,0,0,2,0,263,4,0
