year,month,day,num_in_call,num_out_call,num_mis_call,num_in_caller,num_out_caller,num_mis_caller,total_mins_in_call,total_mins_out_call,num_s,num_r,num_mms_s,num_mms_r,num_s_tel,num_r_tel,total_char_s,total_char_r,text_reciprocity_incoming,text_reciprocity_outgoing
2021,6,2,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0,27,0,0,1
2021,6,3,7,25,8,6,11,4,18.233333333333334,6.45,0,27,0,0,0,6,0,1509,27,0
2021,6,4,2,16,5,2,7,4,6.75,13.933333333333332,0,11,0,0,0,3,0,572,11,0
2021,6,5,3,10,2,2,4,2,2.9166666666666665,21.900000000000002,1,4,0,0,1,2,104,209,4,1
2021,6,6,1,3,0,1,2,0,0.7166666666666667,5.0,0,2,0,0,0,1,0,54,2,0
2021,6,7,3,2,1,1,2,1,1.7833333333333332,1.3833333333333333,1,17,0,0,1,3,45,898,17,1
2021,6,8,2,16,9,2,8,8,6.4,17.183333333333334,0,31,0,0,0,6,0,1711,31,0
2021,6,9,2,10,0,2,5,0,3.9166666666666665,4.533333333333333,10,26,0,0,5,7,744,1405,16,2
2021,6,10,4,7,4,3,4,3,4.25,9.716666666666667,1,5,0,0,1,1,120,282,5,1
2021,6,11,1,0,0,1,0,0,0.65,0.0,1,6,0,0,1,2,19,294,6,1
2021,6,12,3,11,2,2,5,1,3.0,5.266666666666667,5,32,0,0,2,7,449,1657,29,0
2021,6,13,4,10,3,3,6,3,11.666666666666666,9.4,0,41,0,0,0,5,0,2300,41,0
2021,6,14,3,1,0,3,1,0,9.100000000000001,0.0,0,7,0,0,0,3,0,409,7,0
2021,6,15,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,16,1,1,1,1,1,1,0.43333333333333335,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,17,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,1,0,113,2,0
2021,6,18,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,19,1,3,1,1,3,1,3.0166666666666666,21.133333333333333,0,0,0,0,0,0,0,0,0,0
2021,6,20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
