year,month,day,num_in_call,num_out_call,num_mis_call,num_in_caller,num_out_caller,num_mis_caller,total_mins_in_call,total_mins_out_call,num_s,num_r,num_mms_s,num_mms_r,num_s_tel,num_r_tel,total_char_s,total_char_r,text_reciprocity_incoming,text_reciprocity_outgoing
2021,6,3,3,18,2,2,6,1,4.833333333333334,4.466666666666667,3,36,0,0,3,11,25,1788,29,0
2021,6,4,1,1,1,1,1,1,0.35,0.0,0,49,0,0,0,8,0,2660,49,0
2021,6,5,1,1,0,1,1,0,0.26666666666666666,0.35,1,26,0,0,1,8,8,1301,25,0
2021,6,6,0,0,0,0,0,0,0.0,0.0,0,11,0,0,0,2,0,520,11,0
2021,6,7,0,0,2,0,0,1,0.0,0.0,0,18,0,0,0,5,0,1048,18,0
2021,6,8,0,0,0,0,0,0,0.0,0.0,0,16,0,0,0,5,0,940,16,0
2021,6,9,0,0,0,0,0,0,0.0,0.0,0,13,0,0,0,3,0,757,13,0
2021,6,10,0,0,0,0,0,0,0.0,0.0,0,7,0,0,0,3,0,378,7,0
2021,6,11,0,0,0,0,0,0,0.0,0.0,0,15,0,0,0,6,0,877,15,0
2021,6,12,0,0,0,0,0,0,0.0,0.0,0,19,0,0,0,6,0,1176,19,0
2021,6,13,0,0,0,0,0,0,0.0,0.0,0,15,0,0,0,5,0,893,15,0
2021,6,14,0,0,0,0,0,0,0.0,0.0,0,3,0,0,0,1,0,159,3,0
2021,6,15,1,0,0,1,0,0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,16,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
