year,month,day,num_in_call,num_out_call,num_mis_call,num_in_caller,num_out_caller,num_mis_caller,total_mins_in_call,total_mins_out_call,num_s,num_r,num_mms_s,num_mms_r,num_s_tel,num_r_tel,total_char_s,total_char_r,text_reciprocity_incoming,text_reciprocity_outgoing
2022,2,1,1,3,2,1,1,2,1.0333333333333334,0.0,0,6,0,0,0,1,0,366,6,0
2022,2,2,0,6,0,0,2,0,0.0,6.95,0,0,0,0,0,0,0,0,0,0
2022,2,3,0,2,0,0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2022,2,4,1,1,0,1,1,0,0.18333333333333332,2.566666666666667,0,1,0,0,0,1,0,60,1,0
2022,2,5,0,1,2,0,1,2,0.0,3.5833333333333335,0,2,0,0,0,2,0,138,2,0
2022,2,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2022,2,7,0,2,0,0,2,0,0.0,2.716666666666667,0,0,0,0,0,0,0,0,0,0
2022,2,8,6,9,0,6,6,0,2.9166666666666665,2.3833333333333333,0,10,0,0,0,9,0,643,10,0
2022,2,9,2,0,1,2,0,1,10.8,0.0,0,2,0,0,0,1,0,125,2,0
2022,2,10,0,4,0,0,4,0,0.0,3.8666666666666663,0,1,0,0,0,1,0,69,1,0
2022,2,11,1,0,1,1,0,1,1.7833333333333334,0.0,0,3,0,0,0,2,0,183,3,0
2022,2,12,1,2,0,1,2,0,2.0166666666666666,0.31666666666666665,0,1,0,0,0,1,0,70,1,0
2022,2,13,5,6,0,3,5,0,12.233333333333334,7.05,0,0,0,0,0,0,0,0,0,0
2022,2,14,2,4,0,2,4,0,2.5,3.616666666666667,0,8,0,0,0,3,0,474,8,0
2022,2,15,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,1,0,125,2,0
2022,2,16,0,2,2,0,1,1,0.0,5.65,0,3,0,0,0,2,0,169,3,0
2022,2,17,0,4,2,0,2,1,0.0,6.833333333333333,0,4,0,0,0,2,0,208,4,0
2022,2,18,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0,65,1,0
2022,2,19,1,1,2,1,1,2,10.833333333333334,0.0,0,2,0,0,0,2,0,138,2,0
2022,2,20,0,4,1,0,4,1,0.0,11.683333333333334,0,5,0,0,0,3,0,315,5,0
2022,2,21,3,3,1,3,3,1,58.11666666666667,25.05,0,9,0,0,0,2,0,532,9,0
2022,2,22,0,3,0,0,2,0,0.0,6.466666666666667,0,1,0,0,0,1,0,70,1,0
2022,2,23,0,3,1,0,2,1,0.0,24.883333333333333,0,12,0,0,0,3,0,756,12,0
2022,2,24,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
